Priority,Status,Key Peri.,EP name,EP details,Alternate HW,Remark
01,In Progress,SDRAM,sdram_,16bit SDRAM settings and benchmark,,Similar to CPKCOR-RA8D1B
02,Before Start,OSPI NOR,ospi_nor_,OSPI NOR setup and benchmar,,Similar to CPKHMI-RA8D1B
03,Before Start,OSPI NOR,ospi_hram_,"OSPI HyperRAM setup and benchmar",,Similar to CPKHMI-RA8D1B
05.1,Before Start,USB-HS,usb_xx,"USB CC read and control, with sample code",,
07,Before Start,SDRAM LCD,mipi_xx,MIPI LCD setting and SDRAM benchmark,,Similar to CPKHMI-RA8D1B
08.1,Before Start,LVGL,lvgl_xx,LVGL Demo with 2DG/ARM-2D/CPU Only,,
,,,,,,
,,,,,,
