组别,封装,Tj,预估Ta max,CM85最快速度,CM33最快速度,NPU最快速度,品名示例（非SiP）
A,BGA,0°C ~ 95°C ,75°C ,1GHz,250MHz,500MHz,R7KA8P1KFLCAC
B,BGA,-40°C ~ 105°C ,85°C ,800MHz,200MHz,400MHz,R7KA8P1KFDCAC
